id,category,fact,confidence,evidence,importance,verifiable,extraction_source
1,personal_demographics,"Born on September 15, 1963",1.0,"Dr. Marcus Chen was born on September 15, 1963",high,True,openai_gpt4
2,personal_demographics,Age is 60 years old,1.0,"Marcus was born on September 15, 1963",high,True,openai_gpt4
3,personal_demographics,"Birthplace is Berkeley, California",1.0,"born on September 15, 1963, in Berkeley, California",high,True,openai_gpt4
4,personal_demographics,Parents are Dr. Helen Chen and James Chen,1.0,"His parents, Dr. Helen Chen and James Chen",high,True,openai_gpt4
5,personal_demographics,"Younger sister is Linda Chen, born in 1966",1.0,"Marcus's younger sister, Linda, born in 1966",high,True,openai_gpt4
6,personal_demographics,Married to Dr. Elena Rodriguez,1.0,Marcus's personal life took a transformative turn in 1998 when he met Dr. Elena Rodriguez,high,True,openai_gpt4
7,personal_demographics,Has two children: David and Sarah,1.0,"Their first child, David, was born in 2000, followed by Sarah in 2003",high,True,openai_gpt4
8,personal_demographics,Cultural background includes Chinese-American heritage,1.0,"Dr. Helen Chen, a first-generation Chinese-American",high,True,openai_gpt4
9,personal_demographics,"Fluent in four languages: English, Mandarin, Spanish, and German",1.0,"His fluency in four languages—English, Mandarin, Spanish, and German",high,True,openai_gpt4
10,education,Attended Berkeley High School from 1977 to 1980.,1.0,His high school years at Berkeley High School were marked by academic dominance and increasingly sophisticated independent research projects.,high,True,openai_gpt4
11,education,Graduated as valedictorian from Berkeley High School.,1.0,"This recognition, combined with his perfect SAT scores and valedictorian status, opened doors to the nation's top universities.",high,True,openai_gpt4
12,education,Earned a double major in Physics and Applied Mathematics at MIT from 1980 to 1984.,1.0,"He declared a double major in Physics and Applied Mathematics, an ambitious combination that required careful course planning and exceptional time management skills.",high,True,openai_gpt4
13,education,Maintained a perfect GPA while at MIT.,1.0,"Marcus's academic performance was consistently outstanding, maintaining a perfect GPA while taking challenging course loads.",high,True,openai_gpt4
14,education,Worked on quantum entanglement properties under Dr. Sarah Whitman at MIT.,1.0,"Working under Dr. Whitman's guidance, Marcus dove into experimental investigations of quantum entanglement properties.",high,True,openai_gpt4
15,education,Published a paper on quantum decoherence mechanisms in Physical Review Letters during his senior year at MIT.,1.0,"The research culminated in a groundbreaking study of quantum decoherence mechanisms, with Marcus serving as second author on a paper published in Physical Review Letters during his senior year.",high,True,openai_gpt4
16,education,Completed a doctoral dissertation titled 'Quantum Error Correction in Multi-Qubit Systems' at Stanford University from 1984 to 1990.,1.0,"The breakthrough came during a late-night calculation session when Marcus realized that quantum error correction could be achieved by encoding logical quantum bits in entangled states of multiple physical quantum bits. This insight became the foundation of Marcus's doctoral dissertation, 'Quantum Error Correction in Multi-Qubit Systems.'",high,True,openai_gpt4
17,education,Graduated with highest honors from Stanford University.,1.0,The examination committee described the work as 'foundational' and 'likely to influence quantum information science for decades.' Marcus graduated with highest honors.,high,True,openai_gpt4
18,education,Served as a teaching assistant for undergraduate physics courses at Stanford.,1.0,"During his Stanford years, Marcus also developed his teaching abilities, serving as a teaching assistant for undergraduate physics courses.",medium,True,openai_gpt4
19,education,Authored the textbook 'Foundations of Quantum Information Theory'.,1.0,"His textbook, 'Foundations of Quantum Information Theory,' has become the standard graduate-level introduction to the field.",high,True,openai_gpt4
20,education,Mentored over 40 PhD students and postdocs in his research group at the University of Chicago.,1.0,"Over 40 PhD students and postdocs have completed research training in Marcus's group, and many now hold faculty positions at leading universities worldwide.",high,True,openai_gpt4
21,career_professional,Dr. Marcus Chen joined IBM's Thomas J. Watson Research Center in June 1990 as a research scientist.,1.0,"In June 1990, Marcus joined IBM's Thomas J. Watson Research Center in Yorktown Heights, New York, as a research scientist in the Physics Department.",high,True,openai_gpt4
