output|instruction|input
Trepidation|FAIRNESS|Someone cuts in line at the grocery store
Anxiety|HONESTY|A colleague takes credit for your work
Uncertainty|RESPECT_FOR_OTHERS|Your neighbor plays loud music at 3 AM
Anxiety|RELIABILITY|A friend breaks a promise to help you move
Fear|ENVIRONMENTAL_RESPONSIBILITY|Someone litters in a pristine park
Fear|HEALTH_SECURITY|Your doctor calls and asks you to come in to discuss test results
Anxiety|COMMUNICATION_CONSISTENCY|A friend stops responding to your texts suddenly
Fear|JOB_SECURITY|Your boss asks to meet privately without explaining why
Fear|PERSONAL_SAFETY|Walking alone in an unfamiliar neighborhood at night
Anxiety|FINANCIAL_SECURITY|Your bank account balance is lower than expected
Uncertainty|TRANSPORTATION_RELIABILITY|A strange noise comes from your car engine
Fear|FAMILY_SAFETY|You receive an urgent call from your child's school
Anxiety|HOUSING_STABILITY|Your landlord mentions possible rent increases
Trepidation|EVENT_SUCCESS|Dark clouds gather during your outdoor wedding
Fear|SAFETY|You smell gas when entering your home
Anxiety|DATA_SECURITY|Your computer crashes with unsaved important work
Trepidation|LEGAL_TROUBLE|A police car starts following you while driving
Uncertainty|RELATIONSHIP_STABILITY|Your partner seems distant and won't talk about it
Fear|HEALTH|You find a lump during a self-examination
Anxiety|JOB_PERFORMANCE|Your manager schedules unexpected performance reviews for the team
Trepidation|TRAVEL_SAFETY|The pilot announces turbulence ahead during flight
Uncertainty|HOME_SECURITY|You realize you forgot to lock your front door
Fear|FAMILY_WELLBEING|Your elderly parent doesn't answer repeated phone calls
Fear|PERSONAL_SAFETY|A suspicious person follows you in a parking garage
Anxiety|LEGAL_ISSUES|You receive a certified letter from an unknown law firm
Fear|FAMILY_SAFETY|Your child is late coming home past curfew
Anxiety|FINANCIAL_SECURITY|Strange charges appear on your credit card statement
Fear|HOME_INVASION|You hear breaking glass in your house at 2 AM
Trepidation|JOB_SECURITY|Your boss mentions upcoming budget cuts
Uncertainty|HEALTH_CONCERNS|A weird mole appears on your skin
Anxiety|COMMUNICATION_ACCESS|You lose cell phone signal during an emergency
Trepidation|RELIABILITY|Your car won't start before an important interview
Fear|NATURAL_DISASTER_SAFETY|A tornado warning is issued for your area
Fear|SECURITY_BREACH|You find your front door unlocked when you return home
Anxiety|PROFESSIONAL_RELIABILITY|Your internet goes down during a crucial work deadline
Uncertainty|RELATIONSHIP_ISSUES|A loved one texts they need to talk about something serious
Fear|FIRE_SAFETY|You smell smoke but can't identify the source
Anxiety|FINANCIAL_EMBARRASSMENT|Your credit card is declined at a restaurant
Fear|PERSONAL_SAFETY|Walking through a deserted subway station late at night
Trepidation|JOB_STABILITY|Your supervisor mentions restructuring the department
Fear|EMERGENCY_SITUATION|A family member calls crying but the call cuts out
Uncertainty|HOME_SECURITY|You notice your house key is missing from your keyring
Anxiety|ACADEMIC/BEHAVIORAL_ISSUES|Your child's teacher requests an urgent parent conference
Fear|HEALTH_EMERGENCY|You feel chest pain and shortness of breath
Anxiety|RELATIONSHIP_SECURITY|Your partner suggests taking a break from the relationship
Trepidation|NATURAL_DISASTER|A severe weather warning interrupts your TV program
